,assets,income_type,policy,income_value,consumption
0,-3.0,low,-3.0,-0.3347810082152974,-0.32691387501953617
1,-2.9966588908457927,low,-3.0,-0.3347810082152974,-0.3235815275155747
2,-2.9933066186812054,low,-3.0,-0.3347810082152974,-0.3202380462748633
3,-2.9899431462094017,low,-2.9966588908457927,-0.3347810082152974,-0.3202245032525788
4,-2.986568436008932,low,-2.9966588908457927,-0.3347810082152974,-0.3168586428169906
5,-2.9831824505333193,low,-2.9933066186812054,-0.3347810082152974,-0.3168338088388767
6,-2.979785152110638,low,-2.9933066186812054,-0.3347810082152974,-0.31344541941592796
7,-2.976376502943097,low,-2.9899431462094017,-0.3347810082152974,-0.3134091814858637
8,-2.972956465106619,low,-2.986568436008932,-0.3347810082152974,-0.3133728224809196
9,-2.9695250005504175,low,-2.986568436008932,-0.3347810082152974,-0.30995035652095826
10,-2.966082071096575,low,-2.9831824505333193,-0.3347810082152974,-0.3099024412042608
11,-2.962627638439617,low,-2.979785152110638,-0.3347810082152974,-0.30985436579726056
12,-2.959161664146086,low,-2.979785152110638,-0.3347810082152974,-0.306397480597536
13,-2.955684109654115,low,-2.976376502943097,-0.3347810082152974,-0.3063376947345673
14,-2.9521949362729965,low,-2.972956465106619,-0.3347810082152974,-0.3062777091205042
15,-2.9486941051827538,low,-2.9695250005504175,-0.3347810082152974,-0.3062175230879576
16,-2.945181577433708,low,-2.9695250005504175,-0.3347810082152974,-0.30271420651346315
17,-2.9416573139460453,low,-2.966082071096575,-0.3347810082152974,-0.30264211442973465
18,-2.9381212755093826,low,-2.962627638439617,-0.3347810082152974,-0.30256978147848557
19,-2.9345734227823295,low,-2.959161664146086,-0.3347810082152974,-0.30249720685495074
20,-2.9310137162920515,low,-2.959161664146086,-0.3347810082152974,-0.29894683525970533
21,-2.9274421164338333,low,-2.955684109654115,-0.3347810082152974,-0.29886215597739385
22,-2.9238585834706337,low,-2.9521949362729965,-0.3347810082152974,-0.2987771937723567
23,-2.9202630775326464,low,-2.9486941051827538,-0.3347810082152974,-0.29869194769931884
24,-2.916655558616855,low,-2.945181577433708,-0.3347810082152974,-0.2986064168098457
25,-2.9130359865865905,low,-2.945181577433708,-0.3347810082152974,-0.2949963366646724
26,-2.909404321171081,low,-2.9416573139460453,-0.3347810082152974,-0.2948984583353411
27,-2.905760521965007,low,-2.9381212755093826,-0.3347810082152974,-0.29480025298382717
28,-2.90210454842805,low,-2.9345734227823295,-0.3347810082152974,-0.2947017195175152
29,-2.8984363598844407,low,-2.9310137162920515,-0.3347810082152974,-0.2946028568401369
30,-2.894755915522509,low,-2.9274421164338333,-0.3347810082152974,-0.29450366385176174
31,-2.891063174394228,low,-2.9238585834706337,-0.3347810082152974,-0.2944041394487851
32,-2.8873580954147595,low,-2.9238585834706337,-0.3347810082152974,-0.29070877658592753
33,-2.883640637361995,low,-2.9202630775326464,-0.3347810082152974,-0.290596573050367
34,-2.8799107588761004,low,-2.916655558616855,-0.3347810082152974,-0.2904839946305482
35,-2.876168418459053,low,-2.9130359865865905,-0.3347810082152974,-0.2903710400739401
36,-2.872413574474179,low,-2.909404321171081,-0.3347810082152974,-0.29025770812382845
37,-2.8686461851456952,low,-2.905760521965007,-0.3347810082152974,-0.290143997519301
38,-2.8648662085582384,low,-2.90210454842805,-0.3347810082152974,-0.290029906995231
39,-2.861073602656403,low,-2.90210454842805,-0.3347810082152974,-0.28624724673865876
40,-2.85726832524427,low,-2.8984363598844407,-0.3347810082152974,-0.2861201367448847
41,-2.8534503339849415,low,-2.894755915522509,-0.3347810082152974,-0.285992602062747
42,-2.8496195864000655,low,-2.891063174394228,-0.3347810082152974,-0.285864641273315
43,-2.8457760398693663,low,-2.8873580954147595,-0.3347810082152974,-0.28573625295291816
44,-2.841919651630169,low,-2.883640637361995,-0.3347810082152974,-0.2856074356731293
45,-2.838050378776923,low,-2.8799107588761004,-0.3347810082152974,-0.2854781880007473
46,-2.834168178260727,low,-2.876168418459053,-0.3347810082152974,-0.2853485084977829
47,-2.830273006888848,low,-2.872413574474179,-0.3347810082152974,-0.28521839572144536
48,-2.8263648213242414,low,-2.8686461851456952,-0.3347810082152974,-0.2850878482241197
49,-2.8224435780850685,low,-2.8686461851456952,-0.3347810082152974,-0.28117688796589846
50,-2.818509233544213,low,-2.8648662085582384,-0.3347810082152974,-0.2810328373500135
51,-2.814561743928797,low,-2.861073602656403,-0.3347810082152974,-0.2808883054452971
52,-2.8106010653196902,low,-2.85726832524427,-0.3347810082152974,-0.28074329064371106
53,-2.806627153651026,low,-2.8534503339849415,-0.3347810082152974,-0.28059779133184426
54,-2.802639964709707,low,-2.8496195864000655,-0.3347810082152974,-0.2804518058908938
55,-2.798639454134917,low,-2.8457760398693663,-0.3347810082152974,-0.2803053326966505
56,-2.794625577417624,low,-2.841919651630169,-0.3347810082152974,-0.280158370119477
57,-2.790598289900087,low,-2.838050378776923,-0.3347810082152974,-0.28001091652429233
58,-2.7865575467753585,low,-2.838050378776923,-0.3347810082152974,-0.27598076975435415
59,-2.782503303086786,low,-2.834168178260727,-0.3347810082152974,-0.27581935834034654
60,-2.7784355137275125,low,-2.830273006888848,-0.3347810082152974,-0.2756574076331857
61,-2.7743541334399735,low,-2.8263648213242414,-0.3347810082152974,-0.27549491583103514
62,-2.770259116815394,low,-2.8224435780850685,-0.3347810082152974,-0.27533188112603657
63,-2.7661504182932832,low,-2.818509233544213,-0.3347810082152974,-0.27516830170429296
64,-2.7620279921609283,low,-2.814561743928797,-0.3347810082152974,-0.275004175745845
65,-2.757891792552885,low,-2.8106010653196902,-0.3347810082152974,-0.2748395014246552
66,-2.753741773450468,low,-2.806627153651026,-0.3347810082152974,-0.2746742769085837
67,-2.7495778886812374,low,-2.802639964709707,-0.3347810082152974,-0.27450850035936947
68,-2.745400091918487,low,-2.798639454134917,-0.3347810082152974,-0.2743421699326083
69,-2.741208336680729,low,-2.794625577417624,-0.3347810082152974,-0.27417528377773603
70,-2.7370025763311734,low,-2.790598289900087,-0.3347810082152974,-0.2740078400380037
71,-2.7327827640772133,low,-2.790598289900087,-0.3347810082152974,-0.2697990937257315
72,-2.7285488529699027,low,-2.7865575467753585,-0.3347810082152974,-0.26961702865735626
73,-2.7243007959034333,low,-2.782503303086786,-0.3347810082152974,-0.2694343552897145
74,-2.720038545614612,low,-2.7784355137275125,-0.3347810082152974,-0.26925107159041195
75,-2.715762054682333,low,-2.7743541334399735,-0.3347810082152974,-0.2690671755202634
76,-2.7114712755270522,low,-2.770259116815394,-0.3347810082152974,-0.26888266503327163
77,-2.7071661604102566,low,-2.7661504182932832,-0.3347810082152974,-0.26869753807660235
78,-2.702846661433935,low,-2.7620279921609283,-0.3347810082152974,-0.268511792590564
79,-2.6985127305400414,low,-2.757891792552885,-0.3347810082152974,-0.2683254265085817
80,-2.694164319509965,low,-2.753741773450468,-0.3347810082152974,-0.2681384377571767
81,-2.6898013799639893,low,-2.7495778886812374,-0.3347810082152974,-0.26795082425594297
82,-2.6854238633607577,low,-2.745400091918487,-0.3347810082152974,-0.26776258391752306
83,-2.6810317209967303,low,-2.741208336680729,-0.3347810082152974,-0.2675737146475847
84,-2.676624904005644,low,-2.7370025763311734,-0.3347810082152974,-0.2673842143448
85,-2.6722033633579674,low,-2.7327827640772133,-0.3347810082152974,-0.2671940809008184
86,-2.667767049860357,low,-2.7285488529699027,-0.3347810082152974,-0.26700331220024687
87,-2.6633159141551097,low,-2.7243007959034333,-0.3347810082152974,-0.266811906120624
88,-2.6588499067196105,low,-2.720038545614612,-0.3347810082152974,-0.26661986053239595
89,-2.6543689778657855,low,-2.720038545614612,-0.3347810082152974,-0.2621506823666153
90,-2.649873077739548,low,-2.715762054682333,-0.3347810082152974,-0.26194306312103244
91,-2.6453621563202425,low,-2.7114712755270522,-0.3347810082152974,-0.2617347501968883
92,-2.6408361634200883,low,-2.7071661604102566,-0.3347810082152974,-0.26152574127652617
93,-2.6362950486836243,low,-2.702846661433935,-0.3347810082152974,-0.2613160340345466
